"HOUSEHOLD DATA - ANNUAL AVERAGES 2018
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex. [Numbers in thousands]",,,,,,
Occupations,total_#_ of_workers,total_median_weekly_earnings,male_workers,male_median_weekly_earnings,female_workers,female_median_weekly_earnings
Miscellaneous entertainment attendants and related workers,85,523,56,518,28,–
Embalmers and funeral attendants,11,–,8,–,3,–
"Morticians, undertakers, and funeral directors",27,–,20,–,7,–
Barbers,48,–,34,–,15,–
"Hairdressers, hairstylists, and cosmetologists",309,545,22,–,287,548
Miscellaneous personal appearance workers,258,523,52,615,206,512
"Baggage porters, bellhops, and concierges",73,620,59,652,13,–
Tour and travel guides,22,–,13,–,9,–
Childcare workers,437,500,32,–,405,492
Personal care aides,786,500,132,555,654,493
Recreation and fitness workers,208,603,100,724,109,543
Residential advisors,29,–,11,–,18,–
"Personal care and service workers, all other",74,522,32,–,42,–
,,,,,,
Sales and office occupations,"23,714",742,"9,548",846,"14,166",696
Sales and related occupations,"10,077",798,"5,621",949,"4,455",651
First-line supervisors of retail sales workers,"2,421",795,"1,359",911,"1,062",672
First-line supervisors of non-retail sales workers,893,"1,153",588,"1,199",305,"1,054"
Cashiers,"1,390",465,377,468,"1,013",463
Counter and rental clerks,82,729,51,769,30,–
Parts salespersons,109,702,98,718,11,–
Retail salespersons,"1,860",657,"1,144",764,716,543
Advertising sales agents,169,998,91,950,79,"1,053"
Insurance sales agents,466,859,205,"1,048",261,809
"Securities, commodities, and financial services sales agents",197,"1,440",131,"1,639",66,"1,047"
Travel agents,53,789,10,–,43,–
"Sales representatives, services, all other",427,"1,230",315,"1,345",113,933
"Sales representatives, wholesale and manufacturing","1,112","1,161",817,"1,239",295,"1,009"
"Models, demonstrators, and product promoters",15,–,3,–,11,–
Real estate brokers and sales agents,528,"1,019",236,"1,264",291,883
Sales engineers,38,–,34,–,4,–
Telemarketers,50,559,19,–,31,–
"Door-to-door sales workers, news and street vendors, and related workers",41,–,25,–,17,–
"Sales and related workers, all other",227,"1,036",118,"1,323",109,873
Office and administrative support occupations,"13,637",717,"3,926",738,"9,711",711
First-line supervisors of office and administrative support workers,"1,279",885,386,"1,050",892,835
"Switchboard operators, including answering service",21,–,3,–,19,–
Telephone operators,29,–,6,–,22,–
"Communications equipment operators, all other",7,–,5,–,2,–
Bill and account collectors,114,711,28,–,85,694
Billing and posting clerks,417,721,56,664,361,725
"Bookkeeping, accounting, and auditing clerks",679,742,104,778,575,739
Gaming cage workers,7,–,1,–,6,–
Payroll and timekeeping clerks,111,827,11,–,100,807
Procurement clerks,30,–,16,–,14,–
Tellers,240,584,34,–,206,584
"Financial clerks, all other",77,839,30,–,48,–
Brokerage clerks,5,–,2,–,4,–
Correspondence clerks,5,–,2,–,3,–
"Court, municipal, and license clerks",78,897,17,–,61,804
"Credit authorizers, checkers, and clerks",50,818,21,–,30,–
Customer service representatives,"1,904",683,678,689,"1,226",680
"Eligibility interviewers, government programs",67,887,14,–,53,841
File clerks,110,650,23,–,86,624
"Hotel, motel, and resort desk clerks",85,520,29,–,56,505
"Interviewers, except eligibility and loan",114,702,18,–,96,686
"Library assistants, clerical",34,–,8,–,26,–
Loan interviewers and clerks,115,827,16,–,99,797
New accounts clerks,21,–,8,–,13,–
Order clerks,57,659,28,–,29,–
"Human resources assistants, except payroll and timekeeping",53,816,7,–,45,–
Receptionists and information clerks,934,605,81,593,853,606
Reservation and transportation ticket agents and travel clerks,109,745,50,681,60,766
"Information and record clerks, all other",95,733,24,–,71,724
Cargo and freight agents,18,–,6,–,12,–
Couriers and messengers,192,786,164,821,29,–
Dispatchers,270,783,108,926,162,725
"Meter readers, utilities",24,–,22,–,2,–
Postal service clerks,115,765,51,758,63,771
Postal service mail carriers,288,931,170,983,118,808
"Postal service mail sorters, processors, and processing machine operators",53,980,22,–,32,–
"Production, planning, and expediting clerks",252,870,119,"1,004",134,790
"Shipping, receiving, and traffic clerks",524,632,365,654,160,590
Stock clerks and order fillers,988,562,629,558,359,570
"Weighers, measurers, checkers, and samplers, recordkeeping",44,–,30,–,14,–
Secretaries and administrative assistants,"1,977",759,122,903,"1,855",753
Computer operators,67,763,27,–,40,–
Data entry keyers,224,655,52,730,173,643
Word processors and typists,53,858,9,–,43,–
Desktop publishers,1,–,1,–,0,–
Insurance claims and policy processing clerks,211,719,36,–,175,713
"Mail clerks and mail machine operators, except postal service",44,–,31,–,13,–
"Office clerks, general",925,697,128,670,797,701
"Office machine operators, except computer",13,–,5,–,9,–
Proofreaders and copy markers,7,–,2,–,4,–
Statistical assistants,41,–,16,–,25,–
"Office and administrative support workers, all other",456,794,104,920,352,762
,,,,,,
"Natural resources, construction, and maintenance occupations","11,546",824,"11,030",834,516,638
"Farming, fishing, and forestry occupations",850,581,667,602,183,483
"First-line supervisors of farming, fishing, and forestry workers",45,–,37,–,7,–
Agricultural inspectors,18,–,13,–,6,–
Animal breeders,2,–,2,–,0,–
"Graders and sorters, agricultural products",75,593,38,–,37,–
Miscellaneous agricultural workers,641,552,512,578,130,474
Fishers and related fishing workers,12,–,12,–,0,–
Hunters and trappers,3,–,3,–,0,–
Forest and conservation workers,17,–,15,–,3,–
Logging workers,36,–,36,–,0,–
Construction and extraction occupations,"6,414",808,"6,223",809,191,785
First-line supervisors of construction trades and extraction workers,541,"1,059",521,"1,073",20,–
Boilermakers,16,–,16,–,0,–
"Brickmasons, blockmasons, and stonemasons",102,763,100,761,2,–
Carpenters,973,756,953,759,20,–
"Carpet, floor, and tile installers and finishers",108,692,105,682,4,–
"Cement masons, concrete finishers, and terrazzo workers",46,–,46,–,0,–
Construction laborers,"1,470",717,"1,421",717,49,–
"Paving, surfacing, and tamping equipment operators",19,–,18,–,0,–
Pile-driver operators,1,–,1,–,0,–
Operating engineers and other construction equipment operators,328,905,323,905,5,–
"Drywall installers, ceiling tile installers, and tapers",125,704,124,707,1,–
Electricians,781,965,766,966,16,–
Glaziers,35,–,35,–,0,–
Insulation workers,49,–,48,–,1,–
"Painters, construction and maintenance",380,679,360,679,20,–
Paperhangers,3,–,3,–,0,–
"Pipelayers, plumbers, pipefitters, and steamfitters",531,921,514,916,17,–
Plasterers and stucco masons,15,–,14,–,1,–
Reinforcing iron and rebar workers,3,–,3,–,0,–
Roofers,148,687,146,686,2,–
Sheet metal workers,129,881,127,882,2,–
Structural iron and steel workers,52,934,51,941,1,–
Solar photovoltaic installers,9,–,9,–,0,–
"Helpers, construction trades",68,620,67,622,1,–
Construction and building inspectors,82,996,68,"1,015",14,–
Elevator installers and repairers,25,–,23,–,2,–
Fence erectors,21,–,21,–,0,–
Hazardous materials removal workers,30,–,27,–,3,–
Highway maintenance workers,109,781,105,772,4,–
Rail-track laying and maintenance equipment operators,12,–,12,–,0,–
Septic tank servicers and sewer pipe cleaners,6,–,6,–,0,–
Miscellaneous construction and related workers,25,–,24,–,0,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,–,28,–,1,–
"Earth drillers, except oil and gas",23,–,23,–,0,–
"Explosives workers, ordnance handling experts, and blasters",14,–,14,–,0,–
Mining machine operators,59,"1,402",55,"1,389",4,–
"Roof bolters, mining",1,–,1,–,0,–
"Roustabouts, oil and gas",9,–,9,–,0,–
Helpers--extraction workers,2,–,2,–,0,–
Other extraction workers,35,–,34,–,0,–
