CoC Number,CoC Name,CoC Category,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
CA-613,Imperial County CoC,Suburban CoCs,"1,493",117,43,0,160,"1,333","1,311",30,10,0,40,"1,271",182,87,33,120,62,58,31,11,42,16,44,1,0,1,43,30,1,0,1,29,14,0,0,14,130,3,0,0,3,127,96,11,9,0,20,76,12,6,6,0,12,0,84,5,3,0,8,76,14,6,4,10,4,0,0,0,0,0,14,6,4,10,4,9,3,4,7,2
CA-614,San Luis Obispo County CoC,Suburban CoCs,"1,095",248,25,0,273,822,993,178,6,0,184,809,102,70,19,89,13,38,26,7,33,5,301,35,0,35,266,295,35,0,35,260,6,0,0,6,93,17,0,0,17,76,210,23,0,0,23,187,29,6,0,0,6,23,181,17,0,0,17,164,5,1,0,1,4,0,0,0,0,0,5,1,0,1,4,5,1,0,1,4
CO-500,Colorado Balance of State CoC,Rural CoCs,"3,989",932,549,0,"1,481","2,508","2,546",675,271,0,946,"1,600","1,443",257,278,535,908,430,77,86,163,267,797,218,0,218,579,712,200,0,200,512,85,18,18,67,315,80,44,0,124,191,246,58,23,0,81,165,16,3,1,0,4,12,230,55,22,0,77,153,53,12,8,20,33,0,0,0,0,0,53,12,8,20,33,53,11,9,20,33
CO-503,Metropolitan Denver CoC,Major Cities,"5,317","2,574","1,413",22,"4,009","1,308","3,915","2,088",590,22,"2,700","1,215","1,402",486,823,"1,309",93,432,147,257,404,28,"1,596",830,22,852,744,"1,526",789,22,811,715,70,41,41,29,566,307,113,2,422,144,254,117,24,0,141,113,5,2,0,0,2,3,249,115,24,0,139,110,58,18,37,55,3,0,0,0,0,0,58,18,37,55,3,70,17,50,67,3
CO-504,Colorado Springs/El Paso County CoC,Major Cities,"1,551",652,386,0,"1,038",513,"1,146",554,102,0,656,490,405,98,284,382,23,128,34,88,122,6,345,90,0,90,255,333,88,0,88,245,12,2,2,10,192,81,30,0,111,81,93,42,10,0,52,41,1,1,0,0,1,0,92,41,10,0,51,41,24,2,22,24,0,0,0,0,0,0,24,2,22,24,0,29,2,27,29,0
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",Other Urban CoCs,741,492,167,0,659,82,432,286,64,0,350,82,309,206,103,309,0,108,70,38,108,0,52,43,0,43,9,36,27,0,27,9,16,16,16,0,41,4,36,0,40,1,53,26,5,0,31,22,5,5,0,0,5,0,48,21,5,0,26,22,16,5,11,16,0,0,0,0,0,0,16,5,11,16,0,17,6,11,17,0
CT-505,Connecticut Balance of State CoC,Suburban CoCs,"3,235","2,387",349,0,"2,736",499,"1,848","1,165",184,0,"1,349",499,"1,387","1,222",165,"1,387",0,445,394,51,445,0,289,195,0,195,94,262,168,0,168,94,27,27,27,0,149,34,103,0,137,12,134,68,19,0,87,47,2,0,0,0,0,2,132,68,19,0,87,45,57,28,29,57,0,0,0,0,0,0,57,28,29,57,0,86,43,43,86,0
DC-500,District of Columbia CoC,Major Cities,"6,904","5,095","1,209",0,"6,304",600,"3,770","2,472",698,0,"3,170",600,"3,134","2,623",511,"3,134",0,924,744,180,924,0,"1,781","1,481",0,"1,481",300,"1,586","1,286",0,"1,286",300,195,195,195,0,306,119,127,0,246,60,318,135,149,0,284,34,9,5,3,0,8,1,309,130,146,0,276,33,232,143,89,232,0,0,0,0,0,0,232,143,89,232,0,401,265,136,401,0
DE-500,Delaware Statewide CoC,Suburban CoCs,"1,082",702,282,5,989,93,708,460,150,5,615,93,374,242,132,374,0,125,83,42,125,0,189,170,0,170,19,162,143,0,143,19,27,27,27,0,70,46,17,4,67,3,53,26,19,0,45,8,1,0,1,0,1,0,52,26,18,0,44,8,14,9,5,14,0,1,0,1,1,0,13,9,4,13,0,15,9,6,15,0
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Suburban CoCs,"1,192",488,252,0,740,452,954,361,158,0,519,435,238,127,94,221,17,76,36,35,71,5,250,69,0,69,181,247,69,0,69,178,3,0,0,3,108,28,31,0,59,49,57,27,17,0,44,13,16,15,1,0,16,0,41,12,16,0,28,13,18,3,15,18,0,0,0,0,0,0,18,3,15,18,0,40,9,31,40,0
FL-501,Tampa/Hillsborough County CoC,Suburban CoCs,"1,795",858,284,13,"1,155",640,"1,193",420,147,13,580,613,602,438,137,575,27,174,129,38,167,7,262,70,2,72,190,250,63,2,65,185,12,7,7,5,171,58,48,13,119,52,56,26,4,0,30,26,0,0,0,0,0,0,56,26,4,0,30,26,25,19,5,24,1,0,0,0,0,0,25,19,5,24,1,28,19,8,27,1
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Suburban CoCs,"2,612","1,299",308,40,"1,647",965,"2,253",971,279,40,"1,290",963,359,328,29,357,2,110,98,11,109,1,434,85,14,99,335,417,68,14,82,335,17,17,17,0,281,108,108,17,233,48,143,58,40,0,98,45,37,15,19,0,34,3,106,43,21,0,64,42,16,14,2,16,0,1,0,1,1,0,15,14,1,15,0,29,27,2,29,0
FL-503,"Lakeland, Winterhaven/Polk County CoC",Suburban CoCs,552,194,224,0,418,134,354,96,124,0,220,134,198,98,100,198,0,52,29,23,52,0,84,21,0,21,63,84,21,0,21,63,0,0,0,0,26,9,7,0,16,10,28,14,7,0,21,7,6,6,0,0,6,0,22,8,7,0,15,7,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,4,1,3,4,0
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",Suburban CoCs,683,87,190,0,277,406,484,53,46,0,99,385,199,34,144,178,21,58,10,43,53,5,90,8,0,8,82,88,8,0,8,80,2,0,0,2,44,2,13,0,15,29,20,2,3,0,5,15,0,0,0,0,0,0,20,2,3,0,5,15,6,1,5,6,0,0,0,0,0,0,6,1,5,6,0,6,1,5,6,0
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Suburban CoCs,495,53,30,0,83,412,348,22,0,0,22,326,147,31,30,61,86,45,10,9,19,26,119,1,0,1,118,112,1,0,1,111,7,0,0,7,30,2,0,0,2,28,14,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,14,9,1,3,4,5,0,0,0,0,0,9,1,3,4,5,9,2,4,6,3
FL-506,Tallahassee/Leon County CoC,Other Urban CoCs,909,677,133,0,810,99,640,455,93,0,548,92,269,222,40,262,7,81,65,13,78,3,151,100,0,100,51,148,97,0,97,51,3,3,3,0,108,34,55,0,89,19,56,40,7,0,47,9,10,9,0,0,9,1,46,31,7,0,38,8,11,9,1,10,1,0,0,0,0,0,11,9,1,10,1,18,16,1,17,1
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Suburban CoCs,"2,053","1,183",510,0,"1,693",360,"1,340",645,357,0,"1,002",338,713,538,153,691,22,215,160,49,209,6,272,119,0,119,153,246,98,0,98,148,26,21,21,5,181,65,91,0,156,25,120,56,48,0,104,16,0,0,0,0,0,0,120,56,48,0,104,16,24,20,4,24,0,0,0,0,0,0,24,20,4,24,0,32,28,4,32,0
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Rural CoCs,756,272,51,0,323,433,643,194,46,0,240,403,113,78,5,83,30,35,25,1,26,9,272,43,0,43,229,253,29,0,29,224,19,14,14,5,114,20,46,0,66,48,48,41,0,0,41,7,37,37,0,0,37,0,11,4,0,0,4,7,4,3,0,3,1,0,0,0,0,0,4,3,0,3,1,4,3,0,3,1
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Suburban CoCs,"1,542",430,83,0,513,"1,029",854,12,48,0,60,794,688,418,35,453,235,200,125,11,136,64,56,0,0,0,56,56,0,0,0,56,0,0,0,0,61,0,2,0,2,59,38,8,14,0,22,16,8,8,0,0,8,0,30,0,14,0,14,16,8,3,1,4,4,0,0,0,0,0,8,3,1,4,4,14,6,2,8,6
FL-510,"Jacksonville-Duval, Clay Counties CoC",Major Cities,"1,794",878,487,0,"1,365",429,"1,410",537,444,0,981,429,384,341,43,384,0,126,113,13,126,0,327,198,0,198,129,268,139,0,139,129,59,59,59,0,121,27,65,0,92,29,138,44,33,0,77,61,17,17,0,0,17,0,121,27,33,0,60,61,11,10,1,11,0,0,0,0,0,0,11,10,1,11,0,13,12,1,13,0
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Suburban CoCs,632,236,251,0,487,145,467,129,200,0,329,138,165,107,51,158,7,44,28,13,41,3,78,31,0,31,47,78,31,0,31,47,0,0,0,0,103,31,53,0,84,19,29,1,17,0,18,11,1,0,1,0,1,0,28,1,16,0,17,11,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,5,2,3,5,0
FL-512,St. Johns County CoC,Suburban CoCs,342,101,77,0,178,164,219,46,9,0,55,164,123,55,68,123,0,35,17,18,35,0,65,6,0,6,59,65,6,0,6,59,0,0,0,0,30,6,0,0,6,24,25,9,2,0,11,14,0,0,0,0,0,0,25,9,2,0,11,14,4,1,3,4,0,0,0,0,0,0,4,1,3,4,0,5,1,4,5,0
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Suburban CoCs,734,61,420,0,481,253,521,33,250,0,283,238,213,28,170,198,15,69,9,55,64,5,116,2,0,2,114,108,2,0,2,106,8,0,0,8,169,0,130,0,130,39,88,30,44,0,74,14,60,28,32,0,60,0,28,2,12,0,14,14,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,8,3,5,8,0
FL-514,Ocala/Marion County CoC,Suburban CoCs,572,168,133,0,301,271,443,107,81,0,188,255,129,61,52,113,16,38,20,14,34,4,124,23,0,23,101,105,20,0,20,85,19,3,3,16,69,14,55,0,69,0,48,14,12,0,26,22,15,8,7,0,15,0,33,6,5,0,11,22,4,3,1,4,0,1,1,0,1,0,3,2,1,3,0,3,2,1,3,0
FL-515,"Panama City/Bay, Jackson Counties CoC",Rural CoCs,381,39,70,0,109,272,313,21,54,0,75,238,68,18,16,34,34,21,4,5,9,12,98,0,0,0,98,94,0,0,0,94,4,0,0,4,34,3,6,0,9,25,34,3,14,0,17,17,5,1,4,0,5,0,29,2,10,0,12,17,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,4,0,0,0,4
FL-517,"Hendry, Hardee, Highlands Counties CoC",Rural CoCs,453,21,48,0,69,384,292,7,9,0,16,276,161,14,39,53,108,44,7,18,25,19,259,11,0,11,248,201,7,0,7,194,58,4,4,54,18,0,0,0,0,18,65,0,0,0,0,65,31,0,0,0,0,31,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Rural CoCs,493,57,33,0,90,403,387,28,33,0,61,326,106,29,0,29,77,37,9,0,9,28,38,0,0,0,38,34,0,0,0,34,4,0,0,4,41,0,24,0,24,17,43,9,1,0,10,33,9,7,0,0,7,2,34,2,1,0,3,31,9,1,0,1,8,0,0,0,0,0,9,1,0,1,8,9,1,0,1,8
FL-519,Pasco County CoC,Suburban CoCs,"2,668",145,108,0,253,"2,415",829,66,38,0,104,725,"1,839",79,70,149,"1,690",467,27,18,45,422,826,30,0,30,796,392,17,0,17,375,434,13,13,421,214,15,24,0,39,175,328,11,0,0,11,317,58,11,0,0,11,47,270,0,0,0,0,270,27,0,7,7,20,2,0,0,0,2,25,0,7,7,18,45,0,17,17,28
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Suburban CoCs,711,324,125,0,449,262,426,130,53,0,183,243,285,194,72,266,19,84,54,23,77,7,36,11,0,11,25,36,11,0,11,25,0,0,0,0,45,19,8,0,27,18,29,4,11,0,15,14,0,0,0,0,0,0,29,4,11,0,15,14,14,4,8,12,2,0,0,0,0,0,14,4,8,12,2,21,6,13,19,2
FL-600,Miami-Dade County CoC,Major Cities,"3,516","1,847",594,45,"2,486","1,030","2,425","1,016",334,45,"1,395","1,030","1,091",831,260,"1,091",0,312,246,66,312,0,384,226,10,236,148,336,178,10,188,148,48,48,48,0,120,45,66,0,111,9,156,92,36,2,130,26,25,21,0,0,21,4,131,71,36,2,109,22,51,51,0,51,0,0,0,0,0,0,51,51,0,51,0,86,86,0,86,0
FL-601,Ft Lauderdale/Broward County CoC,Suburban CoCs,"2,318",886,532,31,"1,449",869,"1,856",634,348,31,"1,013",843,462,252,184,436,26,131,67,56,123,8,439,189,18,207,232,422,172,18,190,232,17,17,17,0,189,51,63,2,116,73,141,71,29,1,101,40,14,13,0,0,13,1,127,58,29,1,88,39,27,19,7,26,1,0,0,0,0,0,27,19,7,26,1,34,24,9,33,1
FL-602,Punta Gorda/Charlotte County CoC,Suburban CoCs,164,59,19,0,78,86,130,35,19,0,54,76,34,24,0,24,10,8,7,0,7,1,45,11,0,11,34,45,11,0,11,34,0,0,0,0,40,20,19,0,39,1,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Suburban CoCs,728,477,47,0,524,204,423,207,43,0,250,173,305,270,4,274,31,80,72,1,73,7,132,32,0,32,100,124,32,0,32,92,8,0,0,8,18,6,1,0,7,11,31,19,3,0,22,9,10,10,0,0,10,0,21,9,3,0,12,9,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0
FL-604,Monroe County CoC,Rural CoCs,973,660,101,0,761,212,724,475,72,0,547,177,249,185,29,214,35,74,53,11,64,10,62,37,0,37,25,62,37,0,37,25,0,0,0,0,67,2,20,0,22,45,21,16,0,0,16,5,12,12,0,0,12,0,9,4,0,0,4,5,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,2,0
FL-605,West Palm Beach/Palm Beach County CoC,Suburban CoCs,"1,309",351,107,0,458,851,964,115,81,0,196,768,345,236,26,262,83,108,73,11,84,24,164,22,0,22,142,164,22,0,22,142,0,0,0,0,130,23,24,0,47,83,65,21,25,0,46,19,4,1,2,0,3,1,61,20,23,0,43,18,17,10,3,13,4,0,0,0,0,0,17,10,3,13,4,27,17,3,20,7
FL-606,Naples/Collier County CoC,Suburban CoCs,653,238,202,0,440,213,551,216,160,0,376,175,102,22,42,64,38,33,8,14,22,11,119,59,0,59,60,108,54,0,54,54,11,5,5,6,11,3,0,0,3,8,66,12,22,0,34,32,66,12,22,0,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA-500,Atlanta CoC,Major Cities,"3,076","1,146","1,190",0,"2,336",740,"2,536",815,989,0,"1,804",732,540,331,201,532,8,166,101,62,163,3,335,105,0,105,230,331,101,0,101,230,4,4,4,0,399,107,196,0,303,96,165,63,74,0,137,28,9,6,3,0,9,0,156,57,71,0,128,28,22,10,11,21,1,0,0,0,0,0,22,10,11,21,1,37,15,21,36,1
GA-501,Georgia Balance of State CoC,Rural CoCs,"3,730","1,228",629,0,"1,857","1,873","2,402",579,119,0,698,"1,704","1,328",649,510,"1,159",169,434,228,137,365,69,266,98,0,98,168,212,46,0,46,166,54,52,52,2,167,30,20,0,50,117,178,60,13,0,73,105,3,2,0,0,2,1,175,58,13,0,71,104,76,42,22,64,12,0,0,0,0,0,76,42,22,64,12,128,76,35,111,17
GA-502,Fulton County CoC,Suburban CoCs,222,71,63,0,134,88,115,19,30,0,49,66,107,52,33,85,22,40,18,11,29,11,86,20,0,20,66,66,0,0,0,66,20,20,20,0,12,0,12,0,12,0,30,19,5,0,24,6,15,15,0,0,15,0,15,4,5,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA-503,Athens-Clarke County CoC,Other Urban CoCs,212,166,0,0,166,46,128,82,0,0,82,46,84,84,0,84,0,23,23,0,23,0,37,14,0,14,23,37,14,0,14,23,0,0,0,0,14,10,0,0,10,4,5,3,0,0,3,2,0,0,0,0,0,0,5,3,0,0,3,2,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0
GA-504,Augusta-Richmond County CoC,Other Urban CoCs,269,172,50,0,222,47,238,148,43,0,191,47,31,24,7,31,0,11,9,2,11,0,18,16,0,16,2,18,16,0,16,2,0,0,0,0,29,24,0,0,24,5,11,6,3,0,9,2,0,0,0,0,0,0,11,6,3,0,9,2,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0
GA-505,Columbus-Muscogee/Russell County CoC,Other Urban CoCs,276,173,23,0,196,80,234,131,23,0,154,80,42,42,0,42,0,11,11,0,11,0,28,10,0,10,18,28,10,0,10,18,0,0,0,0,13,3,0,0,3,10,17,11,4,0,15,2,0,0,0,0,0,0,17,11,4,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA-506,Marietta/Cobb County CoC,Suburban CoCs,384,146,120,0,266,118,245,61,80,0,141,104,139,85,40,125,14,44,28,12,40,4,41,8,0,8,33,41,8,0,8,33,0,0,0,0,25,4,7,0,11,14,11,7,2,0,9,2,0,0,0,0,0,0,11,7,2,0,9,2,9,7,2,9,0,0,0,0,0,0,9,7,2,9,0,12,9,3,12,0
GA-507,Savannah/Chatham County CoC,Other Urban CoCs,"1,009",241,304,0,545,464,875,159,252,0,411,464,134,82,52,134,0,35,17,18,35,0,223,41,0,41,182,223,41,0,41,182,0,0,0,0,38,16,0,0,16,22,67,11,16,0,27,40,0,0,0,0,0,0,67,11,16,0,27,40,10,4,6,10,0,0,0,0,0,0,10,4,6,10,0,10,4,6,10,0
GA-508,DeKalb County CoC,Suburban CoCs,321,91,87,0,178,143,170,8,19,0,27,143,151,83,68,151,0,48,25,23,48,0,46,12,0,12,34,36,2,0,2,34,10,10,10,0,8,0,0,0,0,8,10,0,0,0,0,10,2,0,0,0,0,2,8,0,0,0,0,8,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,5,5,0,5,0
GU-500,Guam CoC,Rural CoCs,854,124,3,0,127,727,209,19,3,0,22,187,645,105,0,105,540,120,25,0,25,95,66,0,0,0,66,12,0,0,0,12,54,0,0,54,14,4,0,0,4,10,7,2,3,0,5,2,2,2,0,0,2,0,5,0,3,0,3,2,6,2,0,2,4,0,0,0,0,0,6,2,0,2,4,3,1,0,1,2
HI-500,Hawaii Balance of State CoC,Rural CoCs,"2,035",485,220,0,705,"1,330","1,226",187,39,0,226,"1,000",809,298,181,479,330,216,84,51,135,81,597,61,0,61,536,517,41,0,41,476,80,20,20,60,125,25,3,0,28,97,46,8,3,0,11,35,1,0,0,0,0,1,45,8,3,0,11,34,35,14,8,22,13,0,0,0,0,0,35,14,8,22,13,40,11,10,21,19
HI-501,Honolulu City and County CoC,Suburban CoCs,"4,495","1,043","1,307",0,"2,350","2,145","2,905",645,344,0,989,"1,916","1,590",398,963,"1,361",229,407,111,229,340,67,"1,117",197,0,197,920,"1,012",161,0,161,851,105,36,36,69,407,102,110,0,212,195,143,22,17,0,39,104,10,1,0,0,1,9,133,21,17,0,38,95,32,8,15,23,9,0,0,0,0,0,32,8,15,23,9,36,9,17,26,10
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Other Urban CoCs,264,189,69,0,258,6,172,151,15,0,166,6,92,38,54,92,0,29,13,16,29,0,27,24,0,24,3,25,22,0,22,3,2,2,2,0,25,24,0,0,24,1,7,7,0,0,7,0,0,0,0,0,0,0,7,7,0,0,7,0,6,3,3,6,0,0,0,0,0,0,6,3,3,6,0,9,6,3,9,0
IA-501,Iowa Balance of State CoC,Rural CoCs,"1,721",842,742,9,"1,593",128,927,562,249,9,820,107,794,280,493,773,21,247,89,153,242,5,133,116,2,118,15,92,75,2,77,15,41,41,41,0,79,35,29,9,73,6,132,85,34,0,119,13,9,1,7,0,8,1,123,84,27,0,111,12,40,12,27,39,1,1,1,0,1,0,39,11,27,38,1,59,16,40,56,3
IA-502,Des Moines/Polk County CoC,Other Urban CoCs,764,450,193,14,657,107,612,322,169,14,505,107,152,128,24,152,0,49,39,10,49,0,110,64,0,64,46,98,52,0,52,46,12,12,12,0,92,27,39,14,80,12,70,43,18,0,61,9,3,3,0,0,3,0,67,40,18,0,58,9,14,6,8,14,0,0,0,0,0,0,14,6,8,14,0,17,8,9,17,0
ID-500,Boise/Ada County CoC,Other Urban CoCs,756,517,118,0,635,121,613,423,69,0,492,121,143,94,49,143,0,44,31,13,44,0,182,127,0,127,55,166,111,0,111,55,16,16,16,0,113,50,48,0,98,15,33,23,0,0,23,10,4,3,0,0,3,1,29,20,0,0,20,9,6,5,0,5,1,1,0,0,0,1,5,5,0,5,0,10,9,0,9,1
ID-501,Idaho Balance of State CoC,Rural CoCs,"1,256",437,217,0,654,602,684,224,56,0,280,404,572,213,161,374,198,165,63,51,114,51,142,39,0,39,103,127,27,0,27,100,15,12,12,3,102,24,24,0,48,54,82,29,3,0,32,50,7,3,0,0,3,4,75,26,3,0,29,46,15,7,1,8,7,0,0,0,0,0,15,7,1,8,7,12,6,1,7,5
IL-500,McHenry County CoC,Suburban CoCs,179,87,87,0,174,5,124,58,61,0,119,5,55,29,26,55,0,20,11,9,20,0,23,19,0,19,4,23,19,0,19,4,0,0,0,0,39,15,24,0,39,0,14,9,5,0,14,0,1,1,0,0,1,0,13,8,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-501,"Rockford/Winnebago, Boone Counties CoC",Suburban CoCs,256,134,79,0,213,43,169,95,31,0,126,43,87,39,48,87,0,30,13,17,30,0,18,0,0,0,18,18,0,0,0,18,0,0,0,0,21,5,11,0,16,5,19,10,3,0,13,6,2,2,0,0,2,0,17,8,3,0,11,6,14,1,13,14,0,0,0,0,0,0,14,1,13,14,0,21,1,20,21,0
IL-502,"Waukegan, North Chicago/Lake County CoC",Suburban CoCs,277,165,88,0,253,24,161,104,33,0,137,24,116,61,55,116,0,38,19,19,38,0,33,26,0,26,7,29,22,0,22,7,4,4,4,0,13,12,1,0,13,0,12,7,5,0,12,0,0,0,0,0,0,0,12,7,5,0,12,0,7,3,4,7,0,0,0,0,0,0,7,3,4,7,0,9,6,3,9,0
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Other Urban CoCs,188,109,70,0,179,9,121,75,37,0,112,9,67,34,33,67,0,20,9,11,20,0,9,8,0,8,1,9,8,0,8,1,0,0,0,0,7,5,1,0,6,1,11,10,1,0,11,0,2,2,0,0,2,0,9,8,1,0,9,0,6,6,0,6,0,0,0,0,0,0,6,6,0,6,0,7,7,0,7,0
IL-504,Madison County CoC,Suburban CoCs,146,95,0,0,95,51,88,44,0,0,44,44,58,51,0,51,7,17,15,0,15,2,22,3,0,3,19,15,1,0,1,14,7,2,2,5,5,3,0,0,3,2,5,4,0,0,4,1,3,3,0,0,3,0,2,1,0,0,1,1,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,4,4,0,4,0
IL-506,"Joliet, Bolingbrook/Will County CoC",Suburban CoCs,341,167,131,0,298,43,181,96,42,0,138,43,160,71,89,160,0,50,24,26,50,0,23,10,0,10,13,23,10,0,10,13,0,0,0,0,16,2,13,0,15,1,16,9,3,0,12,4,0,0,0,0,0,0,16,9,3,0,12,4,6,1,5,6,0,0,0,0,0,0,6,1,5,6,0,10,2,8,10,0
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Suburban CoCs,400,291,72,3,366,34,248,184,29,3,216,32,152,107,43,150,2,41,27,13,40,1,54,46,1,47,7,54,46,1,47,7,0,0,0,0,37,23,5,3,31,6,13,9,4,0,13,0,0,0,0,0,0,0,13,9,4,0,13,0,4,2,1,3,1,0,0,0,0,0,4,2,1,3,1,5,3,1,4,1
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Suburban CoCs,250,55,105,0,160,90,124,20,41,0,61,63,126,35,64,99,27,40,11,23,34,6,26,10,0,10,16,17,3,0,3,14,9,7,7,2,29,7,17,0,24,5,11,2,1,0,3,8,0,0,0,0,0,0,11,2,1,0,3,8,7,1,6,7,0,0,0,0,0,0,7,1,6,7,0,14,1,13,14,0
